Clause,mainVerb,mainReferent,Gold
"Ralston Purina Co. reported a 47% decline in fourth-quarter earnings,",reported,Co.,DYNAMIC
reflecting restructuring costs as well as a more difficult pet food market.,reflecting,Co.,DYNAMIC
"The St. Louis company earned $45.2 million, or 65 cents a share,",earned,company,DYNAMIC
"compared with $84.9 million, or $1.24 a share, a year earlier.",compared,,STATIVE
"Sales in the latest period were $1.76 billion, a 13% increase from last year's $1.55 billion.",were,Sales,STATIVE
"For the year ended Sept. 30, Ralston earned $422.5 million, or $6.44 a share, up 8.9% from $387.8 million, or $5.63 a share.",earned,Ralston,DYNAMIC
This year's results included a gain of $70.2 million on the disposal of seafood operations.,included,results,STATIVE
"Sales for the full year were $6.6 billion, up 13% from $5.8 billion.",were,Sales,STATIVE
Ralston said,said,Ralston,DYNAMIC
"its restructuring costs include the phase-out of a battery facility in Greenville, N.C., the recent closing of a Hostess cake bakery in Cincinnati and a reduction in staff throughout the company.",include,costs,STATIVE
"The battery plant, which makes rechargeable nickel cadmium and carbon zinc products,",makes,plant,DYNAMIC
"will be closed over the next year or so,",closed,plant,DYNAMIC
a spokesman said.,said,spokesman,DYNAMIC
"Ralston attributed its fourth-quarter slump partly to higher costs of ingredients in the pet food business as well as competitive pressures,",attributed,Ralston,DYNAMIC
which required higher advertising spending.,required,pressures,STATIVE
"For the year, pet food volume was flat,",was,volume,STATIVE
the company said.,said,company,DYNAMIC
"Its cereal division realized higher operating profit on volume increases,",realized,division,DYNAMIC
but also spent more on promotion.,spent,division,DYNAMIC
"The Continental Baking business benefited from higher margins on bread and on increased cake sales,",benefited,business,DYNAMIC
it added.,added,it,DYNAMIC
Ralston said,said,Ralston,DYNAMIC
its Eveready battery unit was hurt by continuing economic problems in South America.,hurt,unit,DYNAMIC
"Ralston shares closed yesterday at $80.50, off $1, in New York Stock Exchange composite trading.",closed,shares,DYNAMIC
