Clause,mainVerb,mainReferent,Gold
The White House said,said,House,DYNAMIC
President Bush has approved duty-free treatment for imports of certain types of watches,approved,Bush,DYNAMIC
"that aren't produced in ""significant quantities"" in the U.S., the Virgin Islands and other U.S. possessions.",produced,watches,DYNAMIC
The action came in response to a petition,came,action,DYNAMIC
filed by Timex Inc. for changes in the U.S. Generalized System of Preferences for imports from developing nations.,filed,petition,DYNAMIC
"Previously, watch imports were denied such duty-free treatment.",denied,imports,DYNAMIC
"Timex had requested duty-free treatment for many types of watches,",requested,Timex,DYNAMIC
covered by 58 different U.S. tariff classifications.,covered,types,STATIVE
The White House said,said,House,DYNAMIC
"Mr. Bush decided to grant duty-free status for 18 categories,",decided,Bush,DYNAMIC
"but turned down such treatment for other types of watches ""because of the potential",turned,Bush,DYNAMIC
"for material injury to watch producers located in the U.S. and the Virgin Islands.""",watch,watches,STATIVE
"Timex is a major U.S. producer and seller of watches,",is,Timex,STATIVE
including low-priced battery-operated watches,including,,STATIVE
assembled in the Philippines and other developing nations,assembled,watches,DYNAMIC
covered by the U.S. tariff preferences.,covered,watches,STATIVE
U.S. trade officials said,said,officials,DYNAMIC
the Philippines and Thailand would be the main beneficiaries of the president's action.,be,Thailand,STATIVE
"Imports of the types of watches that now will be eligible for duty-free treatment totaled about $37.3 million in 1988, a relatively small share of the $1.5 billion in U.S. watch imports that year,",watch,share,STATIVE
according to an aide to U.S. Trade Representative Carla Hills.,according,,STATIVE
