Clause,mainVerb,mainReferent,Gold
NYT20020731.0312 2002-07-31 21:30,2002-07-31,.0312,CANNOT_DECIDE
A4696 &Cx1f; tad-z u s BC-FBC-SEC-NOTES-0801-CO 07-31 0671,s,u,CANNOT_DECIDE
BC-FBC-SEC-NOTES-0801-COX,,,CANNOT_DECIDE
Vandy has big plans By KAREN ROSEN Cox News Service,has,,STATIVE
"BIRMINGHAM, Ala.",,,CANNOT_DECIDE
"-- Since he took the head coaching job at bottom-dwelling Vanderbilt, the question",took,he,DYNAMIC
"Bobby Johnson is asked most often is not, ""Why will things be different under you?""",be,things,DYNAMIC
"""The most-asked question is,",is,question,STATIVE
"`Do you know you look like Steve Martin?' """,know,is,STATIVE
Johnson said to the assembled writers at SEC Kickoff 2002.,said,Johnson,DYNAMIC
So -- does he?,does,he,CANNOT_DECIDE
"""Yeah, I do,""",do,I,STATIVE
"said Johnson,",said,,DYNAMIC
who has a full head of gray hair in common with the comedian-turned-playwright.,has,Johnson,STATIVE
"""I was stopped in San Francisco one time by a Japanese tour bus.",stopped,I,DYNAMIC
I swear.,swear,I,DYNAMIC
They all thought,thought,They,STATIVE
I was Steve Martin.,was,I,STATIVE
They jumped out,jumped,They,DYNAMIC
"and said, `Hollywood, Hollywood.'",said,They,DYNAMIC
I got my picture,got,I,DYNAMIC
taken with them,taken,picture,CANNOT_DECIDE
"and signed a few Steve Martin autographs.""",signed,I,DYNAMIC
Johnson will be signing plenty of autographs with his own name,signing,Johnson,DYNAMIC
if he reaches his goal this year.,reaches,he,DYNAMIC
"""I'm planning to win every game",planning,I,DYNAMIC
"we play,""",play,we,DYNAMIC
he said.,said,he,DYNAMIC
Just another wild and crazy guy.,,,CANNOT_DECIDE
"Date with destiny: After Vanderbilt opens with Georgia Tech, the Commodores will play host to Furman,",Date,,DYNAMIC
which is Johnson's former team and a Division I-AA powerhouse.,is,Furman,STATIVE
Did he consider trying to cancel?,consider,he,CANNOT_DECIDE
"""Let me just say",Let,,DYNAMIC
"that three years ago when we scheduled that game,",scheduled,we,DYNAMIC
"I was feeling pretty good about it,""",feeling,I,STATIVE
Johnson said.,said,Johnson,DYNAMIC
"""They're seasoned,",'re,They,STATIVE
they know,know,they,STATIVE
how to win,win,they,CANNOT_DECIDE
and we're going to have to deal with that.,going,they,STATIVE
"They're going to be tough to beat""",going,They,STATIVE
Heavy duty: Auburn football players are reminded of last year's losses,reminded,players,DYNAMIC
every time they go into the weight room.,go,they,DYNAMIC
