Clause,mainVerb,mainReferent,Gold
Husbands and Wives,,,CANNOT_DECIDE
Chatterbox feels a little dense for not realizing sooner,feels,Chatterbox,STATIVE
that the subtext (and hence much of the appeal),,,CANNOT_DECIDE
of a Hillary Clinton-Rudy Giuliani Senate race would be Wronged Wife vs. Neglectful Husband.,be,subtext,STATIVE
By running against Giuliani,running,lady,DYNAMIC
(who has been reported in Vanity Fair to have a mistress,reported,exact,DYNAMIC
-- he denies it --,denies,mistress,DYNAMIC
"and, by all accounts, has a sham marriage),",has,who,STATIVE
the first lady could exact symbolic revenge on her philandering husband while advancing the fortunes of the Democratic party at the same time!,exact,lady,DYNAMIC
That's almost enough,'s,That,STATIVE
for Chatterbox to jump on the Hillary for Senate bandwagon.,jump,Chatterbox,CANNOT_DECIDE
The media conventional wisdom is that Giuliani would make Hillary Clinton's marital problems a major campaign issue.,is,wisdom,STATIVE
"""Giuliani makes Ken Starr look like a patsy,""",makes,Giuliani,DYNAMIC
cried Time this week.,cried,Time,DYNAMIC
"But, er, wouldn't that be kind of a risky strategy,",be,,STATIVE
given his own problematic union?,given,kind,STATIVE
Many have already opined,opined,Many,DYNAMIC
"that the mayor is too vituperative, too much of a loner to practice the congenial, teamwork-oriented politics of the Senate;",is,mayor,STATIVE
"other doubters have pointed to his hardhearted, uncaring social policies.",pointed,doubters,DYNAMIC
The last thing he needs is to draw more attention to these qualities in his personal life.,is,thing,STATIVE
"Giuliani's estrangement from his wife, Donna Hanover, is made clear in an interview with Hanover",made,estrangement,DYNAMIC
that appears in today's New York Times .,appears,interview,DYNAMIC
"Hanover ""would not say",say,Hanover,DYNAMIC
"whether Giuliani would run for the Senate, whether she would like him to run for Senate, or whether she would campaign for him",run,Giuliani,DYNAMIC
if he did.,did,he,DYNAMIC
"But she did say in the interview,",did,she,DYNAMIC
"which was conducted before the recent frenzy of speculation about Hillary Rodham Clinton's interest in the same New York Senate seat,",conducted,interview,DYNAMIC
that Mrs. Clinton is a 'very interesting' person. ',is,Clinton,STATIVE
I think,think,I,STATIVE
"she's dynamic,",'s,she,STATIVE
and I think,think,I,STATIVE
"she's very smart,",'s,she,STATIVE
"and she's an amazing speaker,'",'s,she,STATIVE
"Ms. Hanover said.""",said,Hanover,DYNAMIC
"And, for a punch line: ""Ms. Hanover's press secretary, Joannie Danielides, said this week",said,,DYNAMIC
"that Ms. Hanover had no comment on Mrs. Clinton's potential Senate campaign.""",had,Hanover,STATIVE
Does she have any comment on whether Ms. Hanover plans to be Hillary Clinton's campaign manager?,have,she,STATIVE
"Indis Index Update: NBC, in its Juanita Broaddrick broadcast last night, turned up an additional three witnesses",turned,Update,DYNAMIC
who recall being told by Broaddrick in the late 1970s,recall,witnesses,DYNAMIC
that Bill Clinton raped her.,raped,Clinton,DYNAMIC
This diminishes -- slightly -- the significance of Norma Kelsey's possible motives in verifying parts of Broaddrick's story.,diminishes,This,DYNAMIC
"(One of the three is Kelsey's sister,",is,One,STATIVE
whose motives can be similarly questioned;,questioned,motives,DYNAMIC
the other two heard Broaddrick tell her story,heard,two,DYNAMIC
"but did not see her bruised lip,",see,two,DYNAMIC
as only Kelsey and Broaddrick's husband claim to have.),claim,husband,DYNAMIC
"However, Chatterbox notes",notes,Chatterbox,DYNAMIC
"that NBC, like every other responsible news organization that's covered this story,",covered,organization,DYNAMIC
reported,reported,NBC,DYNAMIC
"that Norma Kelsey's father's killer was pardoned by Gov. Bill Clinton,",pardoned,killer,DYNAMIC
and remains perplexed that the Journal editorial page won't.,remains,NBC,STATIVE
Its Indis Index is today up to seven.,is,Index,STATIVE
-- Timothy Noah and Jodi Kantor,,,CANNOT_DECIDE
