Clause,mainVerb,mainReferent,Gold
"February 26, 1999",,,CANNOT_DECIDE
"Dear ,",,,CANNOT_DECIDE
"Kids today face overwhelming pressures, everything from trouble at home to gangs and drugs.",face,February,STATIVE
Youngsters often find themselves feeling alienated and alone.,find,Youngsters,DYNAMIC
That's where the Boys & Girls Clubs of Indianapolis come in.,'s,That,STATIVE
We reach out to kids,reach,We,DYNAMIC
-- especially those from disadvantaged neighborhoods where the risks are highest.,are,risks,STATIVE
We give them a chance to realize their own potential by giving them a place,give,We,DYNAMIC
"where they can develop a sense of competence, of usefulness, a sense of belonging and of influence.",develop,they,DYNAMIC
"To accomplish this,",accomplish,,CANNOT_DECIDE
the five area Boys & Girls Clubs of Indianapolis must be open and available,be,Clubs,STATIVE
"when the kids need them, with the staff and programs",need,kids,STATIVE
the kids need to reach and grow into responsible and caring citizens.,need,kids,STATIVE
This costs money.,costs,This,STATIVE
"Money for programs, for equipment, and for repairs and improvements to club facilities.",,,CANNOT_DECIDE
Your contribution last year of helped us get,helped,year,DYNAMIC
where we are today.,are,we,STATIVE
We are counting on you,counting,We,STATIVE
now to help us get,help,We,CANNOT_DECIDE
where we need to be tomorrow.,need,we,STATIVE
Would you please consider a gift of the same in 1999?,please,you,CANNOT_DECIDE
"Please, give generously.",give,,CANNOT_DECIDE
The kids are depending on you.,are,,STATIVE
"Respectfully, James Campbell President of the Board Deputy Chief, Indianapolis Police Department",,,CANNOT_DECIDE
A United Way Agency,,,CANNOT_DECIDE
Please detach and return in the enclosed envelope.,detach,President,CANNOT_DECIDE
