Clause,mainVerb,mainReferent,Gold
Name,Name,,CANNOT_DECIDE
Address,,,CANNOT_DECIDE
"City, State, Zip",,,CANNOT_DECIDE
"Dear Name,",,,CANNOT_DECIDE
It's tough growing up today.,'s,It,STATIVE
We know,know,We,STATIVE
that children do better,do,children,DYNAMIC
when they have a network of caring adults to nurture and motivate them.,have,they,STATIVE
"When young people don't have that support,",have,people,STATIVE
they need other resources,need,they,STATIVE
for encouragement to guide them along the way.,guide,encouragement,CANNOT_DECIDE
Big Sisters helps bridge that gap by providing children with the resources,helps,Sisters,DYNAMIC
they need -- Big Sisters volunteers.,need,they,STATIVE
Big Sisters are mentors and friends,are,Sisters,STATIVE
"who empower girls to more fully reach their potential,",empower,mentors,DYNAMIC
experience life's opportunities,experience,mentors,CANNOT_DECIDE
and perhaps begin to dream.,begin,mentors,CANNOT_DECIDE
"The relationships that are formed provide strong foundations from which healthy values and strong self-confidence can grow,",provide,relationships,DYNAMIC
"helping youth become strong, independent adults of tomorrow.",helping,relationships,DYNAMIC
"This year we will serve over 1,000 girls through our mentoring programs.",serve,we,DYNAMIC
This is an impressive number;,is,This,STATIVE
"but for each girl served, more are left unserved.",left,number,STATIVE
Over 150 girls are currently waiting for a Big Sister.,waiting,girls,STATIVE
"You can make an impact by supporting Big Sisters Annual Campaign and our $200,000 goal.",make,You,DYNAMIC
"If you are a regular contributor to the Annual Campaign,",are,you,STATIVE
I encourage you to consider increasing your gift by 10%.,encourage,I,DYNAMIC
"If you have not supported Big Sisters in the past, please join me in doing so",join,,CANNOT_DECIDE
by completing and returning the enclosed pledge form.,completing,,DYNAMIC
Early adolescence is the most vulnerable age for youth.,is,adolescence,STATIVE
But caring adults like,caring,,CANNOT_DECIDE
you can reach out,reach,caring,DYNAMIC
and help.,help,caring,DYNAMIC
It's the perfect time to make a world of difference.,'s,It,STATIVE
"Sincerely,",,,CANNOT_DECIDE
