Clause,mainVerb,mainReferent,Gold
"July 30, 1999",,,CANNOT_DECIDE
Dear Name:,,,CANNOT_DECIDE
"Question What do you get in 987,165 hours with 291people in 15 locations?",get,July,CANNOT_DECIDE
"Answer 34,700 opportunities to change a life!","34,700",Answer,CANNOT_DECIDE
This is exactly what happened in 1997,is,This,STATIVE
"when Community Centers of Indianapolis provided its comprehensive, neighborhood-based services to individuals and families all over Marion County.",provided,Centers,DYNAMIC
And we can do even more in 1999 with your financial support!,do,we,DYNAMIC
Just look at the range of services,look,Development,CANNOT_DECIDE
"we offer: 70,0001 career assistance for youth Preschool for young children School Age Child Care for and children and youth Access services such as emergency and holiday assistance for all ages Adult Day Care for seniors Senior Case Management Aids Education for youth and adults Senior Social Involvement Computer Training for youth, adults and seniors Senior Nutrition meal program Day Care for young children Social Development and Recreation for children, youth and adults.",offer,we,STATIVE
HIPPY (Home Instructional Program for Preschool Youngsters) for families.,,,CANNOT_DECIDE
Stopover crises counseling for youth.,crises,Stopover,CANNOT_DECIDE
In Home Services for adults and seniors.,,,CANNOT_DECIDE
Transportation for youth and seniors,,,CANNOT_DECIDE
CCI is a federation of 13 neighborhood-based multi-service centers,is,Transportation,STATIVE
(plus one affiliate) whose mission is to identify and meet,is,mission,STATIVE
"the human service needs of the greater Indianapolis community in the most effective, efficient and comprehensive way possible.",,,CANNOT_DECIDE
"Better yet, most of these services occur in cooperation with private and public agencies from all over the city - CICOA The Access Network, Goodwill Industries, Indianapolis Housing Agency, City of Indianapolis, Indianapolis Private Industry Council, Family and Social Services administration, OTC, Indy Parks, and numerous community development corporations, neighborhood organizations, and churches, to name just a few.",occur,most,DYNAMIC
"More than 34,000 people benefited from our services in 1997,",benefited,people,DYNAMIC
and the final count for 1998 could be even higher.,be,count,STATIVE
We're asking for a contribution in the amount of because you can't got a better bang for your buck,asking,We,DYNAMIC
than to support an organization,support,bang,CANNOT_DECIDE
that impacts so many lives in so many ways.,impacts,organization,DYNAMIC
"Your gift will enable CCI to provide these and other necessary services at a neighborhood level, face-to-face,",enable,gift,DYNAMIC
where it counts.,counts,it,STATIVE
"Please, make a tax deductible gift to Community Centers of Indianapolis in 1999,",make,,CANNOT_DECIDE
and know,know,,CANNOT_DECIDE
that COMPANY is playing an important part in meeting the needs of its community.,playing,COMPANY,DYNAMIC
"If you have any questions, please feel free to give us a call at 638-3360.",feel,,CANNOT_DECIDE
"We thank you for your consideration,",thank,We,DYNAMIC
and look forward to hearing from you.,look,We,STATIVE
"Sincerely, Earline S. Moore President Valery De Long Director of Development",,,CANNOT_DECIDE
