Clause,mainVerb,mainReferent,Gold
Dow Jones & Co. said,said,Jones,DYNAMIC
it extended its $18-a-share offer for Telerate Inc. common stock until 5 p.m. EST Nov. 9.,extended,it,DYNAMIC
"The offer, valued at about $576 million for the 33% of Telerate",valued,offer,STATIVE
"that Dow Jones doesn't already own,",own,Jones,STATIVE
had been set to expire Nov. 6.,set,offer,DYNAMIC
"Dow Jones, which owns about 64 million of Telerate's 95 million common shares outstanding,",owns,Jones,STATIVE
said,said,Jones,DYNAMIC
"that about 24,000 shares have been tendered under its offer.",tendered,shares,DYNAMIC
Telerate's two independent directors have rejected the offer as inadequate.,rejected,directors,DYNAMIC
"In composite trading on the New York Stock Exchange, Telerate shares closed at $19.50, up 12.5 cents.",closed,shares,DYNAMIC
Telerate provides an electronic financial information network.,provides,Telerate,DYNAMIC
"Dow Jones publishes The Wall Street Journal, Barron's magazine, and community newspapers",publishes,Jones,DYNAMIC
and operates financial news services and computer data bases.,operates,Jones,DYNAMIC
