Clause,mainVerb,mainReferent,Gold
"William C. Walbrecher Jr., an executive at San Francisco-based 1st Nationwide Bank, was named president and chief executive officer of Citadel Holding Corp. and its principal operating unit, Fidelity Federal Bank.",named,Jr.,DYNAMIC
The appointment takes effect Nov. 13.,takes,appointment,DYNAMIC
"He succeeds James A. Taylor,",succeeds,He,DYNAMIC
"who stepped down as chairman, president and chief executive in March for health reasons.",stepped,Taylor,DYNAMIC
Edward L. Kane succeeded Mr. Taylor as chairman.,succeeded,Kane,DYNAMIC
"Separately, Citadel posted a third-quarter net loss of $2.3 million, or 68 cents a share, versus net income of $5.3 million, or $1.61 a share, a year earlier.",posted,Citadel,DYNAMIC
"The latest results include some unusual write-downs,",include,results,STATIVE
which had an after-tax impact of $4.9 million.,had,write-downs,STATIVE
Those included costs,included,Those,STATIVE
"associated with the potential Valley Federal Savings and Loan Association acquisition,",associated,costs,STATIVE
"which was terminated on Sept. 27, 1989.",terminated,Savings,DYNAMIC
"In addition, operating results were hit by an increase in loan and real estate loss reserves.",hit,results,DYNAMIC
"In American Stock Exchange composite trading, Citadel shares closed yesterday at $45.75, down 25 cents.",closed,shares,DYNAMIC
