Clause,mainVerb,mainReferent,Gold
"Magna International Inc. 's chief financial officer, James McAlpine, resigned",resigned,officer,DYNAMIC
"and its chairman, Frank Stronach, is stepping in to help turn the automotive-parts manufacturer around,",stepping,officer,DYNAMIC
the company said.,said,company,DYNAMIC
Mr. Stronach will direct an effort to reduce overhead,direct,Stronach,DYNAMIC
and curb capital spending,curb,effort,CANNOT_DECIDE
"""until a more satisfactory level of profit is achieved and maintained,""",achieved,level,DYNAMIC
Magna said.,said,Magna,DYNAMIC
"Stephen Akerfeldt, currently vice president finance, will succeed Mr. McAlpine.",succeed,Akerfeldt,DYNAMIC
An ambitious expansion has left Magna with excess capacity and a heavy debt load,left,expansion,DYNAMIC
as the automotive industry enters a downturn.,enters,load,DYNAMIC
"The company has reported declines in operating profit in each of the past three years, despite steady sales growth.",reported,company,DYNAMIC
Magna recently cut its quarterly dividend in half,cut,Magna,DYNAMIC
and the company's Class A shares are wallowing far below their 52-week high of 16.125 Canadian dollars (US$13.73).,wallowing,Magna,DYNAMIC
"On the Toronto Stock Exchange yesterday, Magna shares closed up 37.5 Canadian cents to C$9.625.",closed,shares,DYNAMIC
"Mr. Stronach, founder and controlling shareholder of Magna, resigned as chief executive officer last year to seek, unsuccessfully, a seat in Canada's Parliament.",resigned,Stronach,DYNAMIC
Analysts said,said,Analysts,DYNAMIC
Mr. Stronach wants to resume a more influential role in running the company.,wants,Stronach,STATIVE
They expect him to cut costs throughout the organization.,expect,They,STATIVE
The company said,said,company,DYNAMIC
"Mr. Stronach will personally direct the restructuring,",direct,Stronach,DYNAMIC
"assisted by Manfred Gingl, president and chief executive.",assisted,restructuring,STATIVE
Neither they nor Mr. McAlpine could be reached for comment.,reached,McAlpine,DYNAMIC
Magna said,said,Magna,DYNAMIC
"Mr. McAlpine resigned to pursue a consulting career, with Magna as one of his clients.",resigned,McAlpine,DYNAMIC
