Clause,mainVerb,mainReferent,Gold
"August 10, 1999",,,CANNOT_DECIDE
Mr. Caring Philanthropy,,,CANNOT_DECIDE
"01234 Giving Way Contribution,",,,CANNOT_DECIDE
USA 56789,,,CANNOT_DECIDE
"Dear Mr. Philanthropy,",,,CANNOT_DECIDE
"""The urgency you feel to make changes is just the extent",is,urgency,STATIVE
that change will be made.,made,change,DYNAMIC
Do not sit this one out.,sit,,CANNOT_DECIDE
Do not play it safe.,play,,CANNOT_DECIDE
Understand the world,Understand,,CANNOT_DECIDE
and change it,change,,CANNOT_DECIDE
where it needs to be changed... Make our society better.,needs,it,CANNOT_DECIDE
Make a world worthy of the children,Make,,CANNOT_DECIDE
"that your generation will bear.""",bear,generation,DYNAMIC
-- Carl Sagan You can help make positive changes in the lives of at-risk youth in central Indiana.,help,Sagan,DYNAMIC
"We often hear about economic poverty,",hear,We,DYNAMIC
but what some of these young people are growing up with is emotional poverty-they have often given up on hope and the possibility of a successful future.,is,growing,STATIVE
"With your help, we can change that.",change,we,DYNAMIC
Many Little Sisters are preparing to go back to school this fall full of hope and with a positive outlook.,preparing,Sisters,DYNAMIC
"Thanks to our Big Sisters volunteers, these young people are self-confident,",are,people,STATIVE
believe in themselves,believe,people,STATIVE
and are beginning to realize their full potential.,beginning,people,DYNAMIC
A recent study by Public/Private Ventures (PPV),,,CANNOT_DECIDE
showed,showed,study,DYNAMIC
that girls who had a Big Sister for just one year: reduced first-time drug use by 46% lowered,had,girls,DYNAMIC
school absenteeism by 52% cut,cut,%,DYNAMIC
violent behavior by 33% enhanced school performance showed,showed,girls,DYNAMIC
"improved peer and family relationships Former Little Sister Amy, now 18-years old, is a testament to the Big Sisters program.",is,Amy,DYNAMIC
"""I was matched with my Big Sister in June of 1992.",matched,I,DYNAMIC
"Since then, she and I have grown very close",grown,she,DYNAMIC
and I have been able to experience lots of new things.,been,I,STATIVE
"We go to movies, dinner, concerts, and other stuff like that,",go,We,DYNAMIC
but I have also been able to participate in charity events and fundraiser type things.,been,I,STATIVE
"Not only did I have a lot of fun with my Big Sister,",have,I,DYNAMIC
but I learned a lot from her too.,learned,I,DYNAMIC
"I have become more open-minded, more responsible,",become,I,DYNAMIC
"and, most importantly, I have gained a lot more self-confidence.",gained,I,DYNAMIC
I am very thankful to the Big Sisters program for allowing me this very special opportunity.,am,I,STATIVE
"In 1998, Big Sisters served 972 young people through its many programs.",served,Sisters,DYNAMIC
But the need is still great.,is,need,STATIVE
Over 170 young people are still waiting for a mentor.,waiting,people,STATIVE
You are an important part in making sure,are,You,STATIVE
these young people are matched with caring adult mentors.,matched,people,DYNAMIC
Will you make a financial gift to Big Sisters in 1999,make,you,CANNOT_DECIDE
that will ensure,ensure,Sisters,DYNAMIC
that more young people receive the guidance,receive,people,DYNAMIC
"they need,",need,they,STATIVE
"that more young people stay in school,",stay,people,DYNAMIC
stay off drugs,stay,people,DYNAMIC
and make good choices?,make,people,DYNAMIC
Your contribution will be used to recruit,used,contribution,DYNAMIC
and retain quality volunteers.,retain,contribution,CANNOT_DECIDE
It will also be used to help maintain the infrastructure,used,It,DYNAMIC
"that fosters and supports the development of effective relationships,",fosters,infrastructure,DYNAMIC
including volunteer orientation and training and ongoing supervision and support by a professional staff.,including,,STATIVE
This year your gift can go farther!,go,gift,DYNAMIC
"Gifts of $100 or more will be matched thanks to a special 25th Anniversary $100,000 Challenge Grant",matched,Gifts,DYNAMIC
and will be placed in the Growth For Girls Fund.,placed,Gifts,DYNAMIC
"This fund will support the goal of having 550 mentoring relationships by the end of 1999 and 1,200 by the end of 2004.",support,fund,DYNAMIC
"If you would like to find out more about the Big Sisters program, please call us, (317) 634-6102",(317) 634-6102,,CANNOT_DECIDE
and ask for Ellen Robinson.,ask,,CANNOT_DECIDE
"Thank you very much for your time, attention and consideration.",Thank,,CANNOT_DECIDE
"Sincerely, Andrew T. Burns Patron Relations Chairperson",,,CANNOT_DECIDE
P.S.,,,CANNOT_DECIDE
"When you give to Big Sisters,",give,you,DYNAMIC
you can get 50% back!,get,you,DYNAMIC
"For a minimum contribution of $250, you become eligible for a 50% Indiana state tax credit through the Indiana Department of Commerce Neighborhood Assistance Program",become,you,DYNAMIC
(NAP).,,,CANNOT_DECIDE
A limited number of credits are available.,are,number,STATIVE
"To receive an application form,",receive,(317) 634-6102,CANNOT_DECIDE
check the NAP box on the enclosed pledge card,check,(317) 634-6102,CANNOT_DECIDE
"or call us, (317) 634-6102, ext. 20.",call,(317) 634-6102,CANNOT_DECIDE
