Clause,mainVerb,mainReferent,Gold
Upjohn Co. said,said,Co.,DYNAMIC
"it will offer an early retirement package to as many as 1,100 employees in a cost-cutting move",offer,it,DYNAMIC
expected to result in a fourth-quarter charge.,expected,move,DYNAMIC
Upjohn officials said,said,officials,DYNAMIC
they couldn't estimate the size of the charge,estimate,they,DYNAMIC
until they determine,determine,size,DYNAMIC
"which employees, and how many, will participate in the retirement plan.",participate,employees,DYNAMIC
But the pharmaceutical company said,said,company,DYNAMIC
"it ""anticipates the long-term savings",anticipates,it,STATIVE
"resulting from the plan's implementation will more than offset short-term costs.""",offset,savings,DYNAMIC
"The program, available to Upjohn employees 55 years old or older, could increase an individual's retirement benefits 10% to 20%.",increase,program,DYNAMIC
"In addition, Upjohn is offering a one-time retirement bonus equal to six months of base pay.",offering,Upjohn,DYNAMIC
"Chairman Theodore Cooper called the program part of the company's two-year strategy to implement budget constraints and ""an effective headcount-control program.""",called,Cooper,DYNAMIC
But some analysts questioned,questioned,analysts,DYNAMIC
"how much of an impact the retirement package will have,",have,package,STATIVE
because few jobs will end up being eliminated.,end,jobs,DYNAMIC
"""It's a cosmetic move,""",'s,It,STATIVE
said Jonathan S. Gelles of Wertheim Schroder & Co.,said,Gelles,DYNAMIC
"According to Upjohn's estimates, only 50% to 60% of the 1,100 eligible employees will take advantage of the plan.",According,,DYNAMIC
Upjohn further estimated,estimated,Upjohn,DYNAMIC
that about 50% of the employees who leave for early retirement may be replaced.,replaced,%,DYNAMIC
"As a result, Upjohn will likely trim only about 275 to 350 of its more than 21,000 jobs world-wide.",trim,Upjohn,DYNAMIC
"In composite trading on the New York Stock Exchange yesterday, Upjohn shares rose 87.5 cents to $38.875 apiece.",rose,shares,DYNAMIC
An Upjohn spokesman said,said,spokesman,DYNAMIC
"he had ""heard nothing"" to suggest",heard,he,DYNAMIC
"the early retirement package was spurred by shareholder pressure or a potential bidder for the company,",spurred,package,DYNAMIC
which occasionally has been the target of takeover speculation.,been,company,STATIVE
The company earlier this year adopted a shareholder-rights plan to ward off unwanted suitors.,adopted,company,DYNAMIC
The spokesman said,said,spokesman,DYNAMIC
it is the first early retirement plan,is,it,STATIVE
offered under its two-year cost-control strategy.,offered,plan,STATIVE
"Earlier staff-reduction moves have trimmed about 300 jobs,",trimmed,moves,DYNAMIC
the spokesman said.,said,spokesman,DYNAMIC
