Clause,mainVerb,mainReferent,Gold
"Heritage Media Corp., New York, said",said,Corp.,DYNAMIC
it offered to buy the shares of POP Radio Corp.,offered,it,DYNAMIC
it doesn't already own in a stock swap.,own,it,STATIVE
"Heritage, which owns 51% of POP's 3.6 million shares outstanding,",owns,Heritage,STATIVE
said,said,Heritage,DYNAMIC
it will exchange one share of a new preferred stock for each POP common share,exchange,it,DYNAMIC
it doesn't already own.,own,it,STATIVE
"Depending upon how many warrants and options are exercised prior to completion of the transaction, Heritage would issue between 1.8 million and 2.35 million preferred shares,",issue,Heritage,DYNAMIC
a Heritage spokesman estimated.,estimated,spokesman,DYNAMIC
"In national over-the-counter trading yesterday, POP plunged $4 to $14.75.",plunged,POP,DYNAMIC
"The preferred stock, which would have a dividend rate of $1.76 a year,",have,stock,STATIVE
would be convertible into Heritage common at a rate of four common shares for each preferred.,be,stock,STATIVE
"New York-based POP Radio provides, through a national, in-store network, a customized music, information and advertising service",provides,Radio,DYNAMIC
which simulates live radio.,simulates,service,DYNAMIC
Heritage owns and operates television and radio stations and in-store advertising and promotion programs.,owns,Heritage,STATIVE
