Clause,mainVerb,mainReferent,Gold
Meridian National Corp. said,said,Corp.,DYNAMIC
"it sold 750,000 shares of its common stock to the McAlpine family interests, for $1 million, or $1.35 a share.",sold,it,DYNAMIC
The sale represents 10.2% of Meridian's shares outstanding.,represents,sale,STATIVE
"The McAlpine family, which operates a number of multinational companies,",operates,family,DYNAMIC
"including a London-based engineering and construction company,",including,,STATIVE
"also lent to Meridian National $500,000.",lent,family,DYNAMIC
That amount is convertible into shares of Meridian common stock at $2 a share during its one-year term.,is,amount,STATIVE
The loan may be extended by the McAlpine group for an additional year with an increase in the conversion price to $2.50 a share.,extended,loan,DYNAMIC
"The sale of shares to the McAlpine family along with the recent sale of 750,000 shares of Meridian stock to Haden MacLellan Holding PLC of Surrey, England and a recent public offering have increased Meridian's net worth to $8.5 million,",increased,sale,DYNAMIC
"said William Feniger, chief executive officer of Toledo, Ohio-based Meridian.",said,Feniger,DYNAMIC
