Clause,mainVerb,mainReferent,Gold
ROGERS COMMUNICATIONS Inc. said,said,Inc.,DYNAMIC
it plans to raise 175 million to 180 million Canadian dollars (US$148.9 million to $153.3 million) through a private placement of perpetual preferred shares.,plans,it,DYNAMIC
"Perpetual preferred shares aren't retractable by the holders,",are,,STATIVE
the company said.,said,company,DYNAMIC
Rogers said,said,Rogers,DYNAMIC
"the shares will be convertible into Class B shares,",be,shares,STATIVE
but that the company has the option to redeem the shares,has,shares,STATIVE
before a conversion takes place.,takes,redeem,DYNAMIC
A spokesman for the Toronto cable television and telecommunications concern said,said,spokesman,DYNAMIC
"the coupon rate hasn't yet been fixed,",fixed,rate,DYNAMIC
but will probably be set at around 8%.,set,rate,DYNAMIC
He declined to discuss other terms of the issue.,declined,He,DYNAMIC
