Clause,mainVerb,mainReferent,Gold
Fashioning Paula,,,CANNOT_DECIDE
USA Today leads with Texas' settlement of its product-liability lawsuit against the leading tobacco companies.,leads,Today,DYNAMIC
The top nonlocal story at the Washington Post is the latest development in the Indonesian economic crisis,is,story,STATIVE
-- a rare and boosterish Suharto press conference in contrast to a further plunging stock market and food riots in outlying towns.,,,CANNOT_DECIDE
The New York Times leads with a comprehensive poll about American attitudes,leads,Times,DYNAMIC
concerning abortion.,concerning,attitudes,STATIVE
"In the Texas case, reports USAT ,",USAT,reports,DYNAMIC
the defendant companies have agreed to pay about $15 billion over 25 years to reimburse the state for expenses,agreed,companies,DYNAMIC
it incurred in the treatment of smoking-related illnesses.,incurred,it,DYNAMIC
"That makes Texas the third state to settle such a case, joining Florida and Mississippi.",makes,That,DYNAMIC
"There are,",are,,STATIVE
"says the paper, a total of 40 such suits on file, with Minnesota's turn",says,paper,DYNAMIC
coming next week.,coming,turn,DYNAMIC
The Wall Street Journal states,states,Journal,DYNAMIC
that the plaintiffs' lawyers hired by Texas to try the case will receive as part of the deal almost $2.2 billion in fees.,receive,lawyers,DYNAMIC
"The NYT abortion survey, the first conducted by the paper since 1989, was based on telephone interviews of 1,101 people and detects ""a notable shift from general acceptance"" of having the procedure: from 40 percent to 32 percent.",based,survey,STATIVE
And the pollsters also detected an increasingly acute sensitivity to abortion timing,detected,pollsters,DYNAMIC
: Sixty-one percent of those polled thought,thought,percent,STATIVE
"abortions should be permitted during the first trimester, but only 15 percent in the second and just 7 percent in the third.",permitted,abortions,STATIVE
(The piece notes,notes,piece,DYNAMIC
that this last stat helps explain,helps,stat,DYNAMIC
why a focus on partial-birth abortions has proven politically advantageous for abortion foes.),proven,focus,DYNAMIC
Nearly 45 percent of those asked to state the present law on abortion could not give the correct answer.,give,percent,DYNAMIC
The WSJ notes,notes,WSJ,DYNAMIC
that the just-concluded football/TV deal will probably mean even steeper cable bills in the near future.,mean,deal,STATIVE
"Some local cable companies, the paper says,",says,paper,DYNAMIC
expect the fees,expect,companies,STATIVE
they'll pay ESPN to go up more than 20 percent.,go,fees,DYNAMIC
And they're in the habit of passing expenses along to Joe Remote.,'re,they,STATIVE
"Even nonsports fans will be affected,",affected,fans,DYNAMIC
"notes the Journal ,",notes,Journal,DYNAMIC
because ESPN is usually part of basic cable service.,is,ESPN,STATIVE
(Which raises the question: Hasn't technology progressed to a point,raises,Which,DYNAMIC
that would allow cafeteria-style programming choices by subscribers?),allow,point,CANNOT_DECIDE
A scan of the headlines found,found,scan,DYNAMIC
cheek-by-jowl on the WP 's Page A6 provides an interesting snapshot of the life of the modern Cabinet officer:,cheek-by-jowl,found,DYNAMIC
"""[Ex-HUD Secretary] Cisneros's Ex-Mistress Pleads Guilty,"" ""[Labor Secretary] Herman Denies Allegations of Influence-Selling Scheme,""",,,DYNAMIC
"and ""Two Tyson Foods Executive Indicted Over Gifts to [Ex-Agriculture Secretary] Espy.""",,,DYNAMIC
The WSJ reports,reports,WSJ,DYNAMIC
"that, according to an MIT survey, Americans are twice as likely to back a tax increase going toward the search for extraterrestrials than one for gene-cloning research.",are,Americans,STATIVE
The NYT reports,reports,NYT,DYNAMIC
that today's issue of the journal Science will describe an experiment,describe,issue,DYNAMIC
in which people's biological clocks were reset three hours by shining a bright light on the back of their knees.,were,,DYNAMIC
"The finding, if it holds up,",holds,says,CANNOT_DECIDE
says,says,finding,DYNAMIC
"the Times , may lead to a simple way for airline travelers to fight jet lag.",lead,Times,DYNAMIC
"Yesterday's Los Angeles Times ran a story under the headline ""Paula Jones Works on Her Court Appearance,"" which, illustrated by pictures of Jones, was all about the various looks",ran,Times,DYNAMIC
she's had since stepping on the public stage.,had,she,STATIVE
The piece concluded,concluded,piece,DYNAMIC
that she's finally graduated to an image,graduated,she,DYNAMIC
"that's ""sophisticated yet soft.""",'s,image,STATIVE
"Today's WP ""Style"" section (that's the opposite of substance, remember)",'s,that,STATIVE
picks up that ball,picks,section,DYNAMIC
"and runs with it, with a lengthy discourse on the new PJ.",runs,section,DYNAMIC
"""It is,""",is,It,STATIVE
"hyperventilates the Post , one of the most jaw-dropping public make-overs ever.""",hyperventilates,Post,DYNAMIC
"Jones apparently has ""smoothed the frizzy mane of curls",smoothed,mane,DYNAMIC
that once reached to such dazzling heights.,reached,mane,STATIVE
"Her makeup is now subtle and based on natural, not neon, hues.",is,makeup,STATIVE
Her clothing is inspired by the boardroom instead of the secretarial pool.,inspired,clothing,STATIVE
"She has embraced the markers of dignity, refinement and power.""",embraced,She,DYNAMIC
"In true newspaper overkill fashion, the piece backs this up by consulting Cynde Watson, national makeup artist for Bobbi Brown Essentials, and Steven Zdatny, a historian at West Virginia University",backs,piece,DYNAMIC
specializing in the aesthetics and politics of hair.,specializing,University,STATIVE
"The placement of these two pieces is a PR triumph, but one",is,placement,STATIVE
carrying the seeds of its own destruction,carrying,triumph,DYNAMIC
: If people know,know,people,STATIVE
"all this work is going into making Paula Jones seem a certain someone,",going,know,DYNAMIC
doesn't that just make it obvious,make,that,CANNOT_DECIDE
that she's really somebody else?,'s,it,STATIVE
