Clause,mainVerb,mainReferent,Gold
"October 27, 1998",,,CANNOT_DECIDE
Dear Name:,,,CANNOT_DECIDE
"Join us for the ""Sale of the Century"" at JCC Auction '99, on Saturday, November 13, 1999.",Join,October,CANNOT_DECIDE
"The 9th annual JCC Auction will benefit the numerous scholarship programs of the Jewish Community Center of Indianapolis, a United Way agency.",benefit,Auction,DYNAMIC
Because you are an organization,are,you,STATIVE
"that cares,",cares,organization,STATIVE
you are invited once again to be an integral part of this fabulous event as a corporate sponsor for JCC Auction '99.,invited,you,STATIVE
We are so grateful for your generous contribution to last year's auction.,are,We,STATIVE
"Your continued participation is very important to the JCC,",is,participation,STATIVE
as we work to build partnerships between businesses and our not-for-profit agency.,work,we,DYNAMIC
"As a sponsor, you and your guests will have a special evening,",have,guests,DYNAMIC
knowing,knowing,evening,STATIVE
"that your tax deductible contribution will help support preschool, childcare, senior and resettlement services, as well as quality cultural events in our community.",help,contribution,DYNAMIC
Enclosed is a corporate sponsorship package,is,Enclosed,STATIVE
"that includes a sample of your ad from last year's auction book, current JCC market statistics and an overview of the many JCC programs",includes,package,STATIVE
that will be preserved and strengthened through your generous support.,preserved,programs,DYNAMIC
One of us will call you to discuss,call,One,DYNAMIC
"how your company can continue to be an important, highly visible partner with the JCC in support of our scholarship programs.",continue,company,DYNAMIC
"If you have any questions, please feel free to call Myrna Weinberger at 251-9467, ext. 256.",feel,please,CANNOT_DECIDE
Thank you in advance for your consideration.,Thank,,CANNOT_DECIDE
"Sincerely, Judy Laikin, Chair Auction '99 Sponsor Committee",,,CANNOT_DECIDE
