Clause,mainVerb,mainReferent,Gold
"June 1, 1998",,,CANNOT_DECIDE
BOYS & Girls Club OF INDIANAPOLIS,,,CANNOT_DECIDE
"Dear Friend,",,,CANNOT_DECIDE
"It's summertime,",'s,It,STATIVE
so it must be time for CAMP!,be,it,STATIVE
"Yes, it's that time of the year -- the start of the Boys & Girls clubs of Indianapolis' Camp.",'s,start,STATIVE
"Six weeks of learning and exploring, sports, arts, and fellowship.",learning,weeks,CANNOT_DECIDE
"A time for a youngster to enjoy the fun and benefits of residential camp living, dedicated staff and instruction, and a chance to make special friends.",enjoy,time,CANNOT_DECIDE
I know,know,I,STATIVE
you're committed to ensuring,committed,you,STATIVE
"today's children have safe, healthy, and positive summer experiences.",have,children,STATIVE
That's why I want you to learn more about the Super Summer Safari Camp.,'s,That,STATIVE
"At Super Summer Safari Camp, there are daily sports, nature, and arts activities.",are,nature,STATIVE
"In addition to the fun stuff, important life-skills such as self-esteem, leadership, and interpersonal cooperation are being developed.",developed,life-skills,DYNAMIC
Please read the enclosed brochure for more information on the wonderful Super Summer Safari Camp!,read,,CANNOT_DECIDE
It costs $225 to send one child to camp.,costs,It,STATIVE
Many members of the Boys & Girls Clubs of Indianapolis can't afford to go to camp,afford,members,STATIVE
"without financial assistance, and that's why we need you!",'s,members,STATIVE
Please make camp possible for all deserving Indianapolis children,make,,CANNOT_DECIDE
and send in a tax deductible contribution today in the enclosed envelope.,send,,CANNOT_DECIDE
"Consider sponsoring 1, 2, or 3 children.",Consider,,CANNOT_DECIDE
"No matter the size of the donation, please know",matter,,CANNOT_DECIDE
that your gift will be appreciated,appreciated,gift,STATIVE
and make a difference.,make,,CANNOT_DECIDE
"Sincerely, Richard Dickinson",,,CANNOT_DECIDE
P.S.,,,CANNOT_DECIDE
You can make a difference in a child's life.,make,You,DYNAMIC
Sponsor a child at the Boys & Girls Clubs of Indianapolis' summer camp today!,Sponsor,,CANNOT_DECIDE
