Clause,mainVerb,mainReferent,Gold
"March 29, 1999",,,CANNOT_DECIDE
Name,Name,March,CANNOT_DECIDE
Address,,,CANNOT_DECIDE
"City, ST Zip",,,CANNOT_DECIDE
Dear Name:,Name,Dear,CANNOT_DECIDE
The 1999 Invest in Youth,,,CANNOT_DECIDE
Campaign is in full swing.,is,Invest,STATIVE
"As a former board member, the success of the YMCA is still important to me.",is,success,STATIVE
We must be able to reach all youth and families,be,We,STATIVE
interested in values-based programs.,,,STATIVE
The Invest in Youth campaign helps insure this.,helps,Invest,DYNAMIC
New initiatives in the inner-city are taking hold.,taking,initiatives,DYNAMIC
The Urban Mission Branch is reaching out to middle school youth,reaching,Branch,DYNAMIC
"with programs based on caring, honesty, respect and responsibility for themselves and others.",based,programs,STATIVE
"For some, these are very different messages from the ones",are,these,STATIVE
heard in the street.,heard,ones,DYNAMIC
They are learning to make positive choices,learning,They,DYNAMIC
"concerning alcohol, tobacco and other drugs",concerning,choices,STATIVE
and to support each other,support,,CANNOT_DECIDE
when those choices are challenged.,challenged,choices,DYNAMIC
You have shared in the vision and the leadership of the YMCA of Greater Indianapolis.,shared,You,DYNAMIC
I now invite you to continue to support the mission and the message,invite,I,DYNAMIC
"that is so important to building strong kids, strong families and strong communities.",is,message,STATIVE
"Please consider joining the Chairman's Roundtable with a gift of $1,000.",consider,,CANNOT_DECIDE
I have enclosed a pledge card for your convenience.,enclosed,I,DYNAMIC
"We would like to announce the success of this year's campaign at the Annual Meeting on April 27,",like,We,STATIVE
so please return you pledge or gift within the next 30 days.,return,We,CANNOT_DECIDE
Thank you.,Thank,,CANNOT_DECIDE
"Sincerely, Richard H. Gilbert, Jr.",,,CANNOT_DECIDE
Past Board Member YMCA of Greater Indianapolis,,,CANNOT_DECIDE
