Clause,mainVerb,mainReferent,Gold
FALL BALLOT ISSUES set a record for off-year elections.,set,ISSUES,DYNAMIC
Odd-year elections attract relatively few ballot issues.,attract,elections,DYNAMIC
"But the 1989 fall total of 80, while well below 1988 activity, shows ""a steady ratcheting up in citizen referenda and initiatives,""",shows,total,DYNAMIC
"says Patrick McGuigan, editor of Family, Law and Democracy Report.",says,McGuigan,DYNAMIC
He says,says,He,DYNAMIC
the 10 citizen-sparked issues on state ballots this fall represent the most in any odd-year this decade.,represent,issues,STATIVE
Ballot questions range from a Maine initiative on banning Cruise missiles to a referendum on increasing the North Dakota income tax.,range,questions,STATIVE
Ballot watchers say,say,watchers,DYNAMIC
attention already is focused on the 1990 elections.,focused,attention,STATIVE
"In California, two petition drives for next year's election are ""essentially finished,""",finished,drives,STATIVE
"says David Schmidt, author of ""Citizen Lawmakers.""",says,Schmidt,DYNAMIC
Mr. McGuigan cites three completed efforts in Oklahoma.,cites,McGuigan,DYNAMIC
"Hot ballot topics are expected to be abortion, the environment and insurance reform.",expected,topics,STATIVE
"Taking a cue from California, more politicians will launch their campaigns by backing initiatives,",launch,politicians,DYNAMIC
says David Magleby of Brigham Young University.,says,Magleby,DYNAMIC
PHOTOGRAPH COLLECTING gains new stature,gains,COLLECTING,DYNAMIC
as prices rise.,rise,prices,DYNAMIC
Price records are being set at auctions this week.,set,records,DYNAMIC
"At Christie's, a folio of 21 prints from Alfred Stieglitz's ""Equivalents"" series",,,CANNOT_DECIDE
"sold for $396,000, a single-lot record.",sold,folio,DYNAMIC
Other works also have been exceeding price estimates.,exceeding,works,DYNAMIC
"In part, prices reflect development of a market structure",reflect,prices,STATIVE
based on such variables as the number of prints.,based,structure,STATIVE
"This information used to be poorly documented and largely anecdotal,",used,information,STATIVE
says Beth Gates-Warren of Sotheby's.,says,Gates-Warren,DYNAMIC
"""There is finally some sort of sense in the market,""",finally,sort,STATIVE
she says.,says,she,DYNAMIC
"Corporations and museums are among the serious buyers,",are,Corporations,STATIVE
"giving greater market stability,",giving,,DYNAMIC
says Robert Persky of the Photograph Collector.,says,Persky,DYNAMIC
"""When I see prints going into the hands of institutions,",see,I,DYNAMIC
I know,know,I,STATIVE
"they aren't going to come back on the market.""",going,they,DYNAMIC
Most in demand: classic photographs by masters such as Stieglitz and Man Ray.,,,CANNOT_DECIDE
"But much contemporary work is also fetching ""a great deal of money,""",fetching,work,DYNAMIC
says Miles Barth of the International Center of Photography.,says,Barth,DYNAMIC
DIALING 900 brings callers a growing number of services.,brings,DIALING,DYNAMIC
"Currently a $300 million-a-year business, 900 telephone service is expected to hit $500 million next year and near $2 billion by 1992",expected,service,STATIVE
"as uses for the service continue to expand, says Joel Gross of Donaldson, Lufkin & Jenrette Inc.",says,Gross,DYNAMIC
The service -- which costs the caller from 30 cents to $25 a minute --,costs,service,STATIVE
