Clause,mainVerb,mainReferent,Gold
Reed International PLC said,said,PLC,DYNAMIC
"that net income for the six months ended Oct. 1 slipped 5% to #89.7 million ($141.9 million), or 16 pence a share, from #94.8 million ($149.9 million), or 17.3 pence a share.",slipped,income,DYNAMIC
"The British paper, packaging and publishing concern, said",said,paper,DYNAMIC
profit from continuing lines fell 10% to #118 million from #130.6 million.,fell,profit,DYNAMIC
"While there were no one-time gains or losses in the latest period, there was a one-time gain of #18 million in the 1988 period.",was,gain,STATIVE
"And while there was no profit this year from discontinued operations, last year",was,profit,STATIVE
"they contributed #34 million, before tax.",contributed,they,DYNAMIC
Pretax profit fell 3.7% to #128 million from #133 million,fell,profit,DYNAMIC
"and was below analysts' expectations of #130 million to #135 million,",was,profit,STATIVE
but shares rose 6 pence to 388 pence in early trading yesterday in London.,rose,profit,DYNAMIC
"Reed is paying an interim dividend of 4.6 pence, up 15% from 4 pence a year earlier.",paying,Reed,DYNAMIC
Sales fell 20% to #722 million.,fell,Sales,DYNAMIC
"Earnings were hurt by disposal of operations in its restructuring,",hurt,Earnings,DYNAMIC
Reed said.,said,Reed,DYNAMIC
