Clause,mainVerb,mainReferent,Gold
Reuters Holdings PLC said,said,PLC,DYNAMIC
"Michael Reupke resigned as general manager to pursue unspecified interests, a move",resigned,Reupke,DYNAMIC
"the news organization termed an ""amicable separation.""",termed,organization,DYNAMIC
"Mr. Reupke, 52 years old and a 27-year Reuters veteran, had been the information-services company's general manager for only six months.",been,Reupke,STATIVE
"His appointment to that post, which has senior administrative, staff and policy responsibilities,",has,post,STATIVE
followed a several-year tenure as Reuters's editor in chief.,followed,appointment,DYNAMIC
"No successor was named,",named,successor,DYNAMIC
"and Mr. Reupke's duties will be split among three other senior Reuters executives,",split,successor,DYNAMIC
the company said.,said,company,DYNAMIC
"In a telephone interview, Mr. Reupke said",said,Reupke,DYNAMIC
"his departure was for ""personal reasons,""",was,departure,STATIVE
which he declined to specify.,declined,he,DYNAMIC
"""There is no business reason for my departure,"" nor any disagreement over policy,",is,reason,STATIVE
he added.,added,he,DYNAMIC
He also rejected reports,rejected,He,DYNAMIC
that his departure stemmed from disappointment,stemmed,reports,STATIVE
the general manager's post hadn't also led to a board directorship at the London-based news organization.,led,post,DYNAMIC
Mr. Reupke was one of three executives on Reuters's eight-person executive committee,was,Reupke,STATIVE
who didn't also serve on the company's board of directors.,serve,executives,DYNAMIC
"""If I were choosing the people of tomorrow,",choosing,I,STATIVE
I would have chosen the people,chosen,I,DYNAMIC
"who are now on the board,""",are,people,STATIVE
he said.,said,he,DYNAMIC
A Reuters spokesman said,said,spokesman,DYNAMIC
"the departure reflects ""no change in strategy or profits.""",reflects,departure,STATIVE
"Mark Shepperd, an analyst at UBS Phillips & Drew in London, said,",said,Shepperd,DYNAMIC
"""I suspect",suspect,I,STATIVE
(the departure) will be fairly irrelevant for the company.,be,departure,STATIVE
I would be very surprised,surprised,I,STATIVE
"if his departure signals any change in strategy or change in profit expectations.""",signals,departure,DYNAMIC
"On London's Stock Exchange, Reuters shares rose five pence to 913 pence ($14.43).",rose,shares,DYNAMIC
"In the U.S. over-the-counter market, American depositary shares for Reuters, each representing three shares in the London market, closed unchanged at $43.875.",closed,shares,DYNAMIC
"The senior of the three executives who will assume Mr. Reupke's duties is Nigel Judah, 58, finance director and a Reuters board director.",is,senior,STATIVE
"Peter Holland, 45, deputy general manager, becomes director of corporate affairs.",becomes,Holland,DYNAMIC
"And Patrick Mannix, 46, international technical manager, becomes director of group quality programs.",becomes,Mannix,DYNAMIC
