Clause,mainVerb,mainReferent,Gold
"RMS International Inc., Hasbrouk Heights, N.J., facing a cash-flow squeeze, said",said,Inc.,DYNAMIC
it is seeking other financing sources and waivers from debenture holders.,seeking,it,DYNAMIC
The company said,said,company,DYNAMIC
that because of softening sales it isn't in compliance with requirements,is,it,STATIVE
that it maintain $3 million in working capital.,maintain,requirements,STATIVE
RMS distributes electronic devices,distributes,RMS,DYNAMIC
and produces power supplies and plastic literature displays.,produces,RMS,DYNAMIC
RMS said,said,RMS,DYNAMIC
"it had a loss of $158,666, or 10 cents a share, in the third quarter,",had,it,STATIVE
"compared with a year-earlier loss of $26,956, or two cents a share.",compared,,STATIVE
Sales rose to $3 million from $2.9 million.,rose,Sales,DYNAMIC
"For the nine months, the company reported a net loss of $608,413, or 39 cents a share,",reported,company,DYNAMIC
"compared with year-earlier net income of $967,809, or 62 cents a share.",compared,,STATIVE
Sales rose to $9.8 million from $8.9 million.,rose,Sales,DYNAMIC
