Clause,mainVerb,mainReferent,Gold
"A.L. Williams Corp. was merged into Primerica Corp., New York,",merged,Corp.,DYNAMIC
"after a special meeting of Williams shareholders cleared the transaction,",cleared,meeting,DYNAMIC
the companies said.,said,companies,DYNAMIC
"Primerica, which had owned nearly 70% of Williams,",owned,Primerica,STATIVE
"will pay about 16.7 million shares,",pay,Primerica,DYNAMIC
"currently valued at almost $472 million, for the rest of Williams.",valued,shares,STATIVE
The financial-services company will pay 0.82 share for each Williams share.,pay,company,DYNAMIC
"Williams shares, which were to be delisted from the New York Stock Exchange after the close of composite trading yesterday,",,,DYNAMIC
"closed at $23.25, off 12.5 cents.",closed,shares,DYNAMIC
"Primerica closed at $28.25, down 50 cents.",closed,Primerica,DYNAMIC
"Williams, Duluth, Ga., is an insurance and financial-services holding company.",is,Williams,STATIVE
Its subsidiaries' services are marketed by closely held A.L. Williams & Associates.,marketed,services,DYNAMIC
"Primerica, as expected,",expected,Primerica,STATIVE
also acquired certain assets of the agency,acquired,Primerica,DYNAMIC
and assumed certain of its liabilities.,assumed,Primerica,DYNAMIC
Terms weren't disclosed.,disclosed,Terms,STATIVE
