Clause,mainVerb,mainReferent,Gold
Integra-A Hotel & Restaurant Co. said,said,Co.,DYNAMIC
its planned rights offering to raise about $9 million was declared effective,declared,said,DYNAMIC
and the company will begin mailing materials to shareholders at the end of this week.,begin,rights,DYNAMIC
"Under the offer, shareholders will receive one right for each 105 common shares",receive,shareholders,DYNAMIC
owned.,owned,shares,CANNOT_DECIDE
Each right entitles the shareholder to buy $100 face amount of 13.5% bonds due 1993,entitles,right,DYNAMIC
and warrants to buy 23.5 common shares at 30 cents a share.,warrants,right,DYNAMIC
"The rights, which expire Nov. 21,",expire,rights,DYNAMIC
can be exercised for $100 each.,exercised,rights,DYNAMIC
"Integra, which owns and operates hotels,",,,STATIVE
said,said,Integra,DYNAMIC
that Hallwood Group Inc. has agreed to exercise any rights,agreed,Inc.,DYNAMIC
that aren't exercised by other shareholders.,exercised,rights,DYNAMIC
"Hallwood, a Cleveland merchant bank, owns about 11% of Integra.",owns,Hallwood,STATIVE
